Decade,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
1970,0.657,0.568,10,"-9,895",0.0279,0.478,0,0.941,96.67,200800
1970,0.369,0.484,2,"-7,682",0.0261,0.0806,1.23E-05,0.36,79.31,200907
1970,0.425,0.242,0,"-15,424",0.0267,0.88,0.0118,0.477,"92,472",228160
1970,0.344,0.433,4,"-7,869",0.0329,0.636,0,0.0397,"133,468",274987
1970,0.543,0.136,7,"-19,197",0.0389,0.94,0.127,0.362,"114,261",334667
1970,0.68,0.701,6,-10.36,0.036,0.316,4.72E-06,0.933,"108,287",243280
1970,0.42,0.0235,0,"-17,663",0.0728,0.934,0.00674,0.252,85.08,153267
1970,0.545,0.843,5,"-9,717",0.0587,0.0919,0.00243,0.629,"97,817",192373
1970,0.536,0.614,6,"-8,293",0.0331,0.283,0,0.527,"106,333",202800
1970,0.574,0.441,6,"-15,258",0.0306,0.255,0.00316,0.911,"92,158",303133
1970,0.671,0.497,6,"-9,469",0.0441,0.0546,0.000251,0.498,"91,795",247280
1970,0.637,0.916,7,-6.95,0.0458,0.0139,2.27E-05,0.506,"114,987",247173
1970,0.633,0.847,9,"-13,562",0.0571,0.000791,0.77,0.681,"126,459",192387
1970,0.438,0.609,7,-8.28,0.029,0.424,0.000143,0.874,"137,704",192907
1970,0.713,0.756,9,"-7,698",0.0401,0.752,2.22E-06,0.945,"116,153",210973
1970,0.433,0.221,7,"-12,774",0.0301,0.839,1.99E-06,0.133,"127,692",228227
1970,0.698,0.689,2,"-12,529",0.0577,0.167,0.000119,0.972,"139,997",176093
1970,0.576,0.687,0,"-10,941",0.0391,0.05,0.0199,0.73,"111,034",331333
1970,0.402,0.459,0,"-13,261",0.0806,0.461,0.0163,0.655,173.48,205747
1970,0.54,0.465,7,"-11,259",0.0302,0.652,0.00544,0.341,"94,731",253080
1970,0.784,0.691,5,"-8,426",0.0309,0.0639,4.70E-06,0.965,"113,804",212987
1970,0.602,0.375,0,"-12,308",0.0329,0.114,1.86E-06,0.815,"91,202",145160
1970,0.517,0.836,2,"-11,008",0.0314,0.122,0.0174,0.96,"144,569",148867
1970,0.388,0.368,9,"-10,984",0.0289,0.319,2.02E-06,0.175,"128,527",313320
1970,0.325,0.852,2,"-6,644",0.0504,0.0474,0.00245,0.636,"174,799",200360
1970,0.568,0.431,11,"-8,376",0.0272,0.485,0.000147,0.457,"112,042",134373
1970,0.625,0.509,2,"-15,562",0.0293,0.231,3.48E-05,0.973,"125,045",138773
1970,0.493,0.376,4,"-15,045",0.0435,0.0241,0.792,0.419,86.47,315400
1970,0.786,0.396,5,-9.38,0.0303,0.52,0.00984,0.712,"119,794",191007
1970,0.475,0.39,2,"-11,559",0.0318,0.694,5.01E-06,0.378,"84,187",242867
1970,0.687,0.352,2,"-14,317",0.028,0.45,0,0.615,96.99,191787
1970,0.689,0.856,5,"-7,581",0.0408,0.198,7.25E-06,0.823,"107,025",295107
1970,0.575,0.756,2,"-9,414",0.0544,0.735,0.0401,0.844,"127,434",176453
1970,0.562,0.715,2,"-8,481",0.0272,0.522,0,0.908,"102,009",157467
1970,0.706,0.538,9,"-9,188",0.0406,0.527,0.143,0.815,"104,899",271427
1970,0.404,0.903,1,-3.88,0.0668,0.577,0.297,0.498,"115,672",423840
1970,0.607,0.668,11,"-11,682",0.039,0.503,3.68E-06,0.96,"99,645",147173
1970,0.598,0.748,2,"-5,237",0.0419,0.317,2.27E-05,0.878,"156,782",180467
1970,0.777,0.457,0,"-11,894",0.0333,0.0621,0.000265,0.854,"99,646",174973
1970,0.554,0.793,0,"-9,428",0.0355,0.0298,0,0.924,"138,549",157293
1970,0.18,0.453,0,"-10,914",0.0336,0.678,0,0.427,"164,328",219173
1970,0.567,0.455,9,"-9,896",0.0479,0.242,2.79E-06,0.58,"123,416",227533
1970,0.922,0.737,9,"-8,367",0.041,0.0368,0.716,0.905,"114,261",185907
1970,0.654,0.82,0,"-9,006",0.0565,0.212,3.81E-06,0.909,"139,075",184146
1970,0.658,0.647,0,"-6,787",0.137,0.659,0,0.825,98.49,137173
1970,0.465,0.398,4,"-13,718",0.0309,0.597,3.50E-06,0.661,"116,182",203051
1970,0.828,0.611,7,"-12,749",0.0393,0.0399,0.0116,0.835,"110,169",474267
1970,0.634,0.785,7,"-7,683",0.035,0.485,0.012,0.933,"94,682",277413
1970,0.543,0.725,6,"-6,298",0.0778,0.827,7.53E-05,0.782,"107,526",281785
1970,0.335,0.303,9,"-10,943",0.0315,0.932,0.0271,0.186,"114,224",184800
1970,0.579,0.508,2,"-9,484",0.027,0.00574,0.000494,0.609,"147,125",391376
1970,0.502,0.451,4,"-7,423",0.0438,0.283,0,0.531,"140,474",216800
1970,0.72,0.584,2,"-10,037",0.0421,0.592,7.49E-06,0.914,"128,871",246253
1970,0.647,0.443,9,"-11,263",0.0486,0.525,0,0.77,"133,296",200173
1970,0.75,0.785,6,"-10,926",0.0591,0.0278,0,0.752,"126,361",286667
1970,0.754,0.708,5,"-8,119",0.0585,0.351,0,0.804,"120,895",172160
1970,0.777,0.608,0,"-11,725",0.0733,0.0341,0.31,0.803,"131,163",371640
1970,0.628,0.321,1,"-9,718",0.0292,0.972,1.01E-05,0.666,"90,259",126200
1970,0.669,0.85,2,"-6,274",0.0603,0.191,6.37E-05,0.878,113.03,204133
1970,0.345,0.589,4,"-8,672",0.0967,0.687,0.000654,0.658,"167,528",334973
1970,0.652,0.474,5,"-14,436",0.204,0.332,1.03E-06,0.88,"176,966",219893
1970,0.772,0.397,7,"-8,585",0.0391,0.339,0.00541,0.617,"97,964",172320
1970,0.425,0.848,6,-7.96,0.102,0.000401,0,0.586,"112,912",139787
1970,0.57,0.31,0,"-14,151",0.0291,0.556,6.08E-05,0.462,"74,989",271467
1970,0.663,0.729,4,"-10,704",0.0556,0.117,0.0138,0.963,"106,213",242067
1970,0.404,0.695,2,"-6,162",0.034,0.587,0.0383,0.646,"133,135",301720
1970,0.554,0.704,1,"-9,014",0.041,0.0961,0.0511,0.841,"176,895",242680
1970,0.511,0.725,5,"-10,668",0.0592,0.134,0,0.808,126.15,307293
1970,0.46,0.264,7,"-9,492",0.0329,0.771,9.92E-05,0.337,"166,446",201800
1970,0.749,0.571,8,"-9,208",0.0288,0.651,0.00211,0.948,"131,247",182067
1970,0.455,0.671,7,"-8,926",0.0323,0.224,0,0.66,"136,206",123600
1970,0.537,0.702,0,"-10,973",0.033,0.0244,0.0505,0.954,"146,208",227293
1970,0.401,0.707,0,"-12,741",0.0733,0.00254,0.447,0.823,"147,712",319493
1970,0.62,0.179,0,"-19,981",0.0314,0.835,0.03,0.675,"130,864",238200
1970,0.894,0.79,9,"-6,446",0.0386,0.0889,0.0104,0.969,"113,072",199867
1970,0.21,0.386,7,"-15,561",0.0484,0.614,2.09E-05,0.396,"167,514",217267
1970,0.408,0.817,10,-9.12,0.282,0.155,0,0.553,"157,244",185840
1970,0.56,0.933,6,"-5,975",0.103,0.0613,0.192,0.754,"126,919",306867
1970,0.489,0.562,2,"-11,494",0.0301,0.0671,0.92,0.23,"111,921",186600
1970,0.514,0.88,4,-9.04,0.0448,0.288,0.276,0.583,"122,236",312660
1970,0.573,0.524,9,"-16,128",0.0484,0.0388,7.80E-06,0.764,"117,453",231293
1970,0.784,0.893,7,"-5,153",0.0923,0.3,1.57E-05,0.819,"118,738",216733
1970,0.589,0.807,9,"-7,633",0.0385,0.225,0,0.682,"95,286",254400
1970,0.319,0.196,5,"-11,466",0.0333,0.686,3.19E-06,0.0636,"130,557",378813
1970,0.549,0.358,4,"-12,629",0.0389,0.491,4.51E-05,0.354,93.76,195560
1970,0.46,0.847,0,-4.74,0.0391,0.326,0.00833,0.654,"165,091",236587
1970,0.494,0.571,2,"-5,862",0.0332,0.0394,0.000518,0.712,"124,045",225107
1970,0.456,0.602,11,"-9,065",0.0285,0.232,0,0.856,"100,017",209467
1970,0.421,0.72,3,"-9,071",0.217,0.11,5.85E-05,0.787,"197,535",194093
1970,0.218,0.331,4,-13.14,0.0361,0.829,1.16E-06,0.376,"173,093",195107
1970,0.648,0.72,10,"-8,476",0.0601,0.451,0.00954,0.663,"113,573",347893
1970,0.624,0.604,3,"-12,401",0.0459,0.0474,0.00159,0.76,"91,554",374491
1970,0.55,0.514,11,"-12,617",0.0523,0.336,0.125,0.724,"136,542",237120
1970,0.443,0.495,2,"-12,501",0.0439,0.0848,0,0.564,"111,528",155853
1970,0.627,0.741,10,"-7,202",0.101,0.209,2.25E-06,0.759,"106,949",190907
1970,0.593,0.64,1,"-13,379",0.0433,0.127,0,0.833,"105,446",196280
1970,0.539,0.386,4,"-11,197",0.0338,0.853,0.000522,0.755,"142,823",160000
1970,0.558,0.211,10,"-17,965",0.0314,0.688,0.000496,0.431,"89,343",250627
1970,0.547,0.28,5,"-14,353",0.027,0.932,0.00782,0.653,"103,342",141773
1970,0.373,0.511,1,"-8,266",0.0522,0.268,1.65E-05,0.434,"202,301",393560
1970,0.62,0.898,4,"-8,962",0.0325,0.013,0.0957,0.909,"115,994",410467
1970,0.589,0.413,9,"-13,959",0.082,0.343,0,0.631,"89,763",175560
1970,0.714,0.541,5,"-9,068",0.0297,0.309,8.41E-06,0.616,95.41,168853
1970,0.473,0.804,5,"-7,697",0.0473,0.324,2.12E-06,0.735,140.55,176467
1970,0.741,0.647,2,"-12,878",0.0427,0.108,0.00139,0.804,"131,097",284000
1970,0.4,0.515,9,"-8,949",0.0352,0.519,1.10E-06,0.472,122.41,142653
1970,0.482,0.0991,1,"-18,552",0.0434,0.949,5.22E-05,0.337,"117,253",202373
1970,0.458,0.438,3,"-9,065",0.0269,0.765,5.70E-05,0.445,"77,847",176933
1970,0.687,0.469,7,"-9,992",0.0322,0.714,0.00199,0.674,102.88,200640
1970,0.597,0.581,3,-9.72,0.0449,0.257,0,0.885,"107,202",202573
1970,0.551,0.446,2,-12.49,0.0331,0.546,2.75E-05,0.845,"87,123",157280
1970,0.645,0.597,6,"-12,989",0.0305,0.00384,1.79E-06,0.88,"121,838",257667
1970,0.693,0.659,4,"-4,722",0.0299,0.395,0.00485,0.541,"106,247",275667
1970,0.442,0.543,8,"-6,386",0.0273,0.732,0.000147,0.644,"129,053",303067
1970,0.555,0.656,7,"-9,721",0.0313,0.337,7.81E-05,0.68,"107,862",171000
1970,0.591,0.148,0,"-16,694",0.0337,0.947,0.141,0.314,"117,483",176054
1970,0.796,0.402,8,"-13,677",0.164,0.0208,2.70E-05,0.741,"114,838",198120
1970,0.639,0.564,9,"-7,241",0.0227,0.123,0,0.877,"92,994",193773
1970,0.552,0.661,8,"-10,047",0.0351,0.00477,0.00961,0.753,"118,365",500200
1970,0.349,0.569,1,"-9,512",0.0434,0.11,0.000122,0.721,"171,354",204907
1970,0.674,0.244,9,-13.88,0.0409,0.594,2.69E-05,0.635,"118,795",270787
